frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,ai_strategy,sees_player,ammo,stun,swap_used
1472,1775851978.565,2404,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1473,1775851978.581,2406,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
1474,1775851978.597,2408,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1475,1775851978.613,2410,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
1476,1775851978.629,2412,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1477,1775851978.645,2414,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
1478,1775851978.661,2416,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1479,1775851978.677,2418,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
1480,1775851978.693,2420,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1481,1775851978.709,2422,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
1482,1775851978.725,2424,656,50,13,2,0.55,IDLE,0,FAR,0,3,0,0
1483,1775851978.741,2426,656,50,13,2,0,IDLE,1,FAR,0,3,0,0
